class,precision,recall,map50,map50_95
mouse_bite,0.7802316182159645,0.8816793893129771,0.7520226254587192,0.35229944969363225
spur,0.7771232292231516,0.8745519713261649,0.7584735825152616,0.35558729602373906
missing_hole,0.7196086772643234,0.9893992932862191,0.7739120486408843,0.39464716558652996
short,0.7315887707104356,0.9629629629629629,0.7771610620292081,0.3835563253514275
open_circuit,0.7640984548651968,0.916714910246089,0.7985300427476361,0.35298328203415535
spurious_copper,0.7093439191242195,0.8680965269989805,0.7335906648443641,0.363090973381464
